,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
14,15,48343,"""15:31""", residential run. then my name should be tied to that five dollars and i think that that should be how it is for everybody.,Yes,"1. Residential run should be tied to a five dollar fee
2. The speaker's name should be tied to the five dollar fee
3. This system should apply to everyone",,,"1. [A] Reason: This argument is a pro because tying residential run to a five dollar fee could potentially increase voter turnout and engagement.
2. [C] Reason: This argument is not applicable to the given proposal as it does not directly relate to changing the electoral college system.
3. [C] Reason: This argument is not applicable as it does not directly address the proposal to change the electoral college system.
4. [A] Reason: This argument is a pro as it supports the proposal to change the current electoral college system.
5. [B] Reason: This argument is a con as it opposes the proposal to change the current electoral college system.",,,"1.  [A] Reason: This argument is a pro because tying a five dollar fee to residential run would provide funding for the primary system change.
2. [C] Reason: This argument is not applicable to the given proposal as it does not directly relate to changing the primary system.
3. [A] Reason: This argument is a pro because applying the system to everyone would ensure fairness and equal participation.
4. [A] Reason: This argument is a pro because it supports the proposal to change the primary system.
5. [B] Reason: This argument is a con because it opposes the proposal to change the primary system without providing any specific reasons.",,,"1.  [A] Reason: This argument is a pro because tying a five dollar fee to residential run would potentially increase voter turnout and engagement.
2. [B] Reason: This argument is a con because tying the speaker's name to a five dollar fee could potentially discourage individuals from running for office due to financial constraints.
3. [C] Reason: This argument is not applicable to the given proposal as it does not directly address the implementation of less strict voting standards.
4. [A] Reason: This argument is a pro because implementing less strict voting standards could potentially increase accessibility and participation in the voting process.
5. [B] Reason: This argument is a con because it does not provide any specific reasons as to why implementing less strict voting standards would be bad.",,,"1.  [A] Reason: Pro - Tying residential run to a five dollar fee can help ensure that only serious candidates participate in the election process.
2. [C] Reason: Not applicable - Tying the speaker's name to the five dollar fee does not directly relate to the proposal of using proportional representatives to elect elected officials.
3. [C] Reason: Not applicable - This statement is too vague and does not directly relate to the proposal of using proportional representatives to elect elected officials.
4. [A] Reason: Pro - Using proportional representatives can help ensure fair representation for all voters and prevent gerrymandering.
5. [B] Reason: Con - This statement is an opinion and does not provide a valid argument against using proportional representatives to elect elected officials.",,,"1. [A] Reason: This argument is a pro because tying a five dollar fee to residential run can help ensure that only serious candidates participate in the election process.
2. [B] Reason: This argument is a con because tying the speaker's name to a five dollar fee could potentially limit free speech and participation in the electoral process.
3. [C] Reason: This argument is not applicable to the given proposal as it does not provide any specific information or context related to implementing RCV.
4. [A] Reason: This argument is a pro because implementing RCV as an alternative method to elected officials and representatives at all levels can help promote fairer and more representative elections.
5. [B] Reason: This argument is a con because it simply states that implementing RCV is bad without providing any specific reasoning or evidence to support this claim.",,,"1. [A] Reason: This argument is a pro because tying residential run to a five dollar fee could potentially incentivize individuals to participate in the program.
2. [B] Reason: This argument is a con because tying the speaker's name to a five dollar fee could potentially discourage individuals from participating in the program.
3. [C] Reason: This argument is not applicable to the given proposal as it does not address the restoration of voting rights to citizens with felony convictions.
4. [A] Reason: This argument is a pro as it supports the proposal to restore federal and state voting rights to citizens with felony convictions upon their release from prison.
5. [B] Reason: This argument is a con as it opposes the proposal to restore federal and state voting rights to citizens with felony convictions upon their release from prison.",,,"1.  [A] Reason: This argument is a pro because tying a five dollar fee to residential run would potentially increase funding for implementing more accessibility to voting.
2. [B] Reason: This argument is a con because tying the speaker's name to a five dollar fee could potentially discourage individuals from participating in the voting process.
3. [C] Reason: This argument is not applicable as it does not provide a clear stance on the proposal to implement more accessibility to voting.
4. [A] Reason: This argument is a pro as it directly supports the proposal to implement more accessibility to voting.
5. [B] Reason: This argument is a con as it opposes the proposal to implement more accessibility to voting without providing any specific reasons.",False,False,False,False,False,False,False,False,False
15,16,48408,"""16:06"""," see, i don't agree with any kind of money gaining like a political contribution that isn't equal. for each candidate, i believe in public funding that is equal for each candidate. i think that gives each candidate and equal voice right now with an equal private contributions in that includes like with this voucher system, some candidates have more money to run over others and voices. get like ignored, or don't get her, don't have a platform. i think it's kind of under",Yes,"1. Political contributions should be equal for each candidate
2. Public funding should be equal for each candidate
3. Unequal private contributions give some candidates an unfair advantage
4. Some voices get ignored or don't have a platform due to unequal funding
5. The current system is unfair and needs to be reformed",,,"1. [A] Reason: Equal political contributions for each candidate would level the playing field and ensure that all candidates have an equal opportunity to compete in the electoral process.
2. [A] Reason: Equal public funding for each candidate would further ensure that all candidates have the resources they need to run a competitive campaign.
3. [A] Reason: Unequal private contributions can give some candidates an unfair advantage, which goes against the principles of fairness and equality in the electoral process.
4. [A] Reason: Unequal funding can result in some voices being ignored or marginalized, which undermines the democratic process and the representation of diverse perspectives.
5. [A] Reason: The current system is unfair and in need of reform to address the issues of unequal funding and the resulting disparities in political influence.","1. Political contributions should be equal for each candidate
2. Public funding should be equal for each candidate
3. Unequal private contributions give some candidates an unfair advantage
4. Some voices get ignored or don't have a platform due to unequal funding",,"1.  A Reason: Political contributions being equal for each candidate would be a pro argument for changing the primary system as it would help level the playing field and reduce the influence of money in politics.
2. A Reason: Public funding being equal for each candidate would also be a pro argument for changing the primary system as it would further reduce the influence of money in politics and ensure that all candidates have access to resources.
3. A Reason: Unequal private contributions giving some candidates an unfair advantage would be a pro argument for changing the primary system as it highlights the need for reform to address this issue.
4. A Reason: Some voices getting ignored or not having a platform due to unequal funding would be a pro argument for changing the primary system as it emphasizes the importance of ensuring that all candidates have an equal opportunity to be heard.
5. A Reason: The current system being unfair and needing to be reformed is a pro argument for changing the primary system as it underscores the necessity for change to address the existing inequalities and shortcomings.","1. Political contributions should be equal for each candidate
4. Some voices get ignored or don't have a platform due to unequal funding","2. Public funding should be equal for each candidate
3. Unequal private contributions give some candidates an unfair advantage","1.  A Reason: Equal political contributions for each candidate would support the proposal of implementing less strict voting standards.
2. A Reason: Equal public funding for each candidate would support the proposal of implementing less strict voting standards.
3. B Reason: Unequal private contributions giving some candidates an unfair advantage is not directly related to the proposal of implementing less strict voting standards.
4. B Reason: Some voices being ignored or not having a platform due to unequal funding is not directly related to the proposal of implementing less strict voting standards.
5. A Reason: The belief that the current system is unfair and needs to be reformed aligns with the proposal of implementing less strict voting standards.",,,"1.  [A] Reason: Proportional representation would help ensure that all candidates have an equal chance of being elected, regardless of their financial resources.
2. [A] Reason: Proportional representation would help level the playing field by providing equal public funding to all candidates, reducing the influence of money in politics.
3. [A] Reason: Proportional representation would help address the issue of unequal private contributions by giving all candidates an equal opportunity to be elected.
4. [A] Reason: Proportional representation would help amplify the voices of all candidates, including those who may not have access to significant funding, leading to a more diverse range of perspectives being represented.
5. [A] Reason: Proportional representation is a reform that can address the unfairness of the current system by promoting fairness, equality, and diversity in representation.",,,"1. [A] Reason: This argument is a pro for the proposal because implementing RCV can help level the playing field by allowing for more diverse candidates to have a chance at winning, regardless of their financial backing.
2. [A] Reason: This argument is a pro for the proposal because implementing RCV can help ensure that all candidates have equal access to public funding, promoting fairness in the electoral process.
3. [A] Reason: This argument is a pro for the proposal because RCV can help mitigate the advantage that candidates with unequal private contributions may have, by allowing voters to rank their preferences and potentially electing a candidate with broader support.
4. [A] Reason: This argument is a pro for the proposal because RCV can help address the issue of some voices being ignored or marginalized due to unequal funding, as it allows for a more inclusive representation of diverse viewpoints.
5. [A] Reason: This argument is a pro for the proposal because it acknowledges the need for reform in the current electoral system, and implementing RCV can be a step towards creating a more fair and representative democracy.",,,"1. [A] Reason: Allowing citizens with felony convictions to vote upon their release from prison would help ensure that their political contributions are equal to those of other citizens, promoting fairness in the electoral process.
2. [A] Reason: Restoring voting rights to citizens with felony convictions would help ensure that public funding is equally distributed among all candidates, promoting fairness in the electoral process.
3. [B] Reason: Allowing citizens with felony convictions to vote may not directly address the issue of unequal private contributions, as this is more related to campaign finance laws and regulations.
4. [A] Reason: Restoring voting rights to citizens with felony convictions would help ensure that all voices are heard and have a platform in the electoral process, promoting inclusivity and fairness.
5. [A] Reason: Restoring voting rights to citizens with felony convictions is a step towards reforming the current unfair system and promoting a more equitable electoral process.",,,"1.  [A] Reason: Equal political contributions for each candidate would level the playing field and make the voting process more accessible to all candidates.
2. [A] Reason: Equal public funding for each candidate would also help level the playing field and make the voting process more accessible to all candidates.
3. [A] Reason: Unequal private contributions can give some candidates an unfair advantage, which goes against the goal of making voting more accessible to all.
4. [A] Reason: Unequal funding can result in some voices being ignored or not having a platform, which hinders accessibility to voting for all individuals.
5. [A] Reason: Reforming the current system to make it more fair and accessible aligns with the goal of implementing more accessibility to voting.",False,False,False,False,False,False,True,False,False
16,17,48408,"""16:06""", democratic honestly.,No,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
17,18,48523,"""16:37""", i definitely agree with disclosure of all campaign donation but also i don't think that we should be using taxpayer money for that type of thing.,Yes,"1. Disclosure of all campaign donations is important.
2. Taxpayer money should not be used for campaign donation disclosure.",,,"1. [A] Reason: Disclosure of all campaign donations is important is a pro argument because it promotes transparency and accountability in the electoral process.
2. [B] Reason: Taxpayer money should not be used for campaign donation disclosure is a con argument because it raises concerns about the use of public funds for political purposes.
3. [C] Reason: Change the current electoral college is okay is not applicable to the given proposal as it does not provide a clear stance on whether changing the electoral college is positive or negative.
4. [B] Reason: Change the current electoral college is bad is a con argument because it suggests that changing the electoral college would have negative consequences.
5. [A] Reason: Change the current electoral college is the best thing ever is a pro argument because it implies that changing the electoral college would be highly beneficial.",,,"1. [A] Reason: Disclosure of all campaign donations is important because it promotes transparency and accountability in the political process.
2. [B] Reason: Taxpayer money should not be used for campaign donation disclosure because it could be seen as a misuse of public funds and may not be the most efficient use of resources.
3. [C] Reason: This argument does not directly relate to the proposal to change the primary system, so it is not applicable.
4. [B] Reason: This argument is a con because it opposes changing the primary system, but does not provide specific reasons for why it is bad.
5. [A] Reason: This argument is a pro because it supports changing the primary system and believes it is the best thing ever, although it does not provide specific reasons for why it is beneficial.",,,"1.  [1] A Reason: Disclosure of campaign donations is important for transparency and accountability in the political process.
2. [2] B Reason: Using taxpayer money for campaign donation disclosure may be seen as wasteful or unnecessary.
3. [3] A Reason: Implementing less strict voting standards could potentially increase voter turnout and participation in elections.
4. [4] B Reason: Implementing less strict voting standards could lead to potential issues such as voter fraud or manipulation.
5. [5] C Reason: This argument does not directly relate to the proposal of implementing less strict voting standards.",1. Disclosure of all campaign donations is important.,2. Taxpayer money should not be used for campaign donation disclosure.,"1. A Reason: Disclosure of campaign donations is important for transparency and accountability in the electoral process.
2. B Reason: This argument is not directly related to the proposal of using proportional representatives to elect officials.
3. C Reason: This argument is directly related to the proposal and supports it.
4. B Reason: This argument is against the proposal of using proportional representatives to elect officials.
5. A Reason: This argument is in favor of the proposal and highlights its benefits.",,,"1. [A] Reason: Disclosure of all campaign donations is important because it promotes transparency and accountability in the political process.
2. [B] Reason: Taxpayer money should not be used for campaign donation disclosure because it could be seen as an inappropriate use of public funds.
3. [C] Reason: This argument is not applicable to the given proposal as it does not directly address the implementation of RCV.
4. [B] Reason: Implementing RCV as an alternative method to elected officials and representatives at all levels may be seen as bad by some who prefer the current system.
5. [A] Reason: Implementing RCV as an alternative method to elected officials and representatives at all levels may be seen as the best thing ever by those who believe it will lead to more representative and fair elections.",,,"1. [A] Reason: Disclosure of all campaign donations is important because it promotes transparency and accountability in the political process.
2. [B] Reason: Taxpayer money should not be used for campaign donation disclosure because it could be seen as a misuse of public funds.
3. [A] Reason: Restoring federal and state voting rights to citizens with felony convictions upon their release from prison promotes democracy and allows individuals to participate in the electoral process.
4. [B] Reason: Restoring federal and state voting rights to citizens with felony convictions upon their release from prison may be seen as bad by those who believe that individuals who have committed felonies should not have the right to vote.
5. [C] Reason: This argument is not applicable as it does not provide a clear reason for or against the proposal.",,,"1. [A] Reason: Disclosure of campaign donations is important for transparency and accountability in the political process, which aligns with the goal of implementing more accessibility to voting.
2. [B] Reason: This argument is not directly related to the proposal of implementing more accessibility to voting. It pertains to the use of taxpayer money for campaign donation disclosure, which is a separate issue.
3. [A] Reason: This argument is in support of the proposal to implement more accessibility to voting.
4. [B] Reason: This argument is against the proposal to implement more accessibility to voting, but no reasoning is provided.
5. [A] Reason: This argument is in strong support of the proposal to implement more accessibility to voting.",False,False,False,False,False,False,True,False,True
18,19,48351,"""16:49""", i think they should keep track where all the money comes from.,Yes,"- Keeping track of where all the money comes from is important 
- It is necessary for transparency and accountability 
- It can help prevent corruption and misuse of funds","- Keeping track of where all the money comes from is important 
- It is necessary for transparency and accountability 
- It can help prevent corruption and misuse of funds",,"1. A Reason: Keeping track of where all the money comes from is important for ensuring transparency and accountability in the electoral process.
2. A Reason: It is necessary for transparency and accountability to know where the money comes from in relation to the electoral college.
3. A Reason: Knowing where the money comes from can help prevent corruption and misuse of funds in the context of the electoral college.
4. C Reason: This argument is not applicable to the proposal to change the current electoral college as it does not directly address the issue at hand.
5. C Reason: This argument is not applicable to the proposal to change the current electoral college as it does not provide any specific reasoning or evidence for why it is bad.","- Keeping track of where all the money comes from is important 
- It is necessary for transparency and accountability 
- It can help prevent corruption and misuse of funds",,"1. A Reason: Keeping track of where all the money comes from is important for ensuring transparency and accountability in the primary system.
2. A Reason: It is necessary for transparency and accountability to know where the money comes from in the primary system.
3. A Reason: Knowing where the money comes from can help prevent corruption and misuse of funds in the primary system.
4. C Reason: This argument does not provide a clear stance on whether changing the primary system is good or bad, so it is not applicable to the proposal.
5. C Reason: This argument simply states that changing the primary system is bad without providing any reasoning, so it is not applicable to the proposal.","- Keeping track of where all the money comes from is important 
- It is necessary for transparency and accountability 
- It can help prevent corruption and misuse of funds",,"1. A Reason: Keeping track of where all the money comes from is important for transparency and accountability in voting processes.
2. A Reason: It is necessary for transparency and accountability to have strict voting standards to prevent corruption and misuse of funds.
3. A Reason: Implementing less strict voting standards could potentially lead to corruption and misuse of funds.
4. C Reason: This argument is not applicable to the proposal as it does not directly address the issue of voting standards.
5. C Reason: This argument is not applicable to the proposal as it does not provide any reasoning or evidence for why implementing less strict voting standards would be bad.",,- It is necessary for transparency and accountability ,"4. C Reason: This argument is not applicable to the given proposal because it does not directly relate to the method of electing officials through proportional representation.

5. B Reason: This argument is a con because it presents a negative view of using proportional representation to elect officials.",,- It is necessary for transparency and accountability ,"4. C Reason: This argument does not directly relate to the proposal of implementing RCV as an alternative method for elected officials and representatives. It is a separate issue related to campaign finance and transparency.

5. B Reason: This argument is a con because it states that implementing RCV as an alternative method for elected officials and representatives at all levels is bad. This is a negative viewpoint on the proposal.",,,"4. [A] Reason: This argument is in support of the proposal as it highlights the importance of restoring voting rights to citizens with felony convictions upon their release from prison.

5. [B] Reason: This argument is against the proposal as it states that restoring voting rights to citizens with felony convictions upon their release from prison is bad.",,- It is necessary for transparency and accountability ,"4. C Reason: This argument is not applicable to the proposal of implementing more accessibility to voting. The statement does not provide any specific reasoning or evidence for or against the proposal.

5. B Reason: This argument is a con to the proposal of implementing more accessibility to voting. The statement directly states that implementing more accessibility to voting is bad, indicating a negative stance on the proposal.",False,False,False,False,False,False,True,False,False
19,20,48351,"""17:55""", and fix your ability to be a legitimate reason to redistrict,No,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
20,21,48439,"""18:01"""," i agree with both these proposals, i think that gerrymandering has gotten really out of hand. i mean, you look at some congressional districts the way they're drawn and it's clear that whoever drew those boundaries had certain alter your",Yes,"1. Gerrymandering has gotten out of hand.
2. Some congressional districts are clearly drawn with certain alterior motives.",,,"1. [A] Reason: Gerrymandering is a problem that is often associated with the current electoral college system, so changing it could potentially address this issue.
2. [A] Reason: Alterior motives in drawing congressional districts can be a result of the current electoral college system, so changing it could potentially mitigate this problem.
3. [A] Reason: This argument is in favor of changing the current electoral college system.
4. [B] Reason: This argument is against changing the current electoral college system.
5. [C] Reason: This argument does not provide a clear stance on the proposal to change the current electoral college system.",,,"1. [A] Reason: Gerrymandering is a major issue that can be addressed by changing the primary system.
2. [A] Reason: Changing the primary system could potentially reduce the ability to draw districts with alterior motives.
3. [A] Reason: This argument is in support of the proposal to change the primary system.
4. [B] Reason: This argument is against the proposal to change the primary system.
5. [A] Reason: This argument is in support of the proposal to change the primary system.","1. Gerrymandering has gotten out of hand.
2. Some congressional districts are clearly drawn with certain alterior motives.",,"1. A Reason: Gerrymandering can be exacerbated by strict voting standards, so less strict standards may help combat this issue.
2. A Reason: Less strict voting standards may make it more difficult for certain alterior motives to influence the drawing of congressional districts.
3. C Reason: This argument does not provide a clear stance on whether less strict voting standards are beneficial or detrimental.
4. C Reason: This argument does not provide a clear stance on whether less strict voting standards are beneficial or detrimental.
5. C Reason: This argument does not provide a clear stance on whether less strict voting standards are beneficial or detrimental.","1. Gerrymandering has gotten out of hand.
2. Some congressional districts are clearly drawn with certain alterior motives.",,"1. A Reason: Proportional representation can help reduce gerrymandering by ensuring that the number of seats a party receives is proportional to the number of votes they receive.
2. A Reason: Proportional representation can help prevent districts from being drawn with ulterior motives, as the focus is on overall vote share rather than specific district boundaries.
3. C Reason: This argument does not provide a clear stance on the proposal, so it is not applicable.
4. B Reason: This argument is against the proposal, as it states that using proportional representatives to elect officials is bad.
5. A Reason: This argument is in favor of the proposal, stating that using proportional representatives is the best thing ever.","1. Gerrymandering has gotten out of hand.
2. Some congressional districts are clearly drawn with certain alterior motives.",,"1. A Reason: Gerrymandering is a major issue in the current electoral system, and implementing RCV could help mitigate its effects by allowing for more fair representation.
2. A Reason: RCV could potentially address the issue of gerrymandered districts by allowing voters to rank candidates in order of preference, reducing the impact of strategically drawn districts.
3. C Reason: This argument does not provide a clear stance on whether implementing RCV is beneficial or not, so it is not applicable to the proposal.
4. B Reason: This argument is against implementing RCV as an alternative method, so it is a con.
5. A Reason: This argument is in favor of implementing RCV as the best thing ever, so it is a pro.",,,"1. [A] Reason: Gerrymandering is a problem that can be addressed by allowing citizens with felony convictions to vote, as it would increase the number of eligible voters and potentially reduce the impact of gerrymandering.
2. [A] Reason: Allowing citizens with felony convictions to vote could potentially lead to more fair and representative congressional districts, as it would increase the diversity of the electorate.
3. [A] Reason: This argument is in support of the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
4. [B] Reason: This argument is against the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
5. [A] Reason: This argument is in support of the proposal to restore voting rights to citizens with felony convictions upon their release from prison.",2. Some congressional districts are clearly drawn with certain alterior motives.,1. Gerrymandering has gotten out of hand.,"1. B Reason: Gerrymandering is a separate issue from accessibility to voting. While it may impact the fairness of elections, it does not directly relate to the proposal of implementing more accessibility to voting.
2. A Reason: This argument is a pro for the proposal as it highlights a potential issue with the current voting system that could be addressed by increasing accessibility to voting.
3. A Reason: This argument is a pro for the proposal as it directly supports the idea of making it easier for individuals to vote.
4. B Reason: This argument is a con for the proposal, but without any reasoning provided it is unclear why the individual believes implementing more accessibility to voting is bad.
5. A Reason: This argument is a pro for the proposal as it expresses strong support for the idea of increasing accessibility to voting.",False,False,False,False,False,False,False,True,False
21,22,48285,"""18:14""", i think the redistricting,No,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
22,23,48285,"""18:14"""," should take place after each century. after each census is taken place. that way everyone. every 10 years, you get a senses so that the only time you can do that is after a sentences. so you know where your people population is.",No,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
23,24,48285,"""18:14"""," and that should be the only time, it should be done.",Yes,- The action being discussed should only be done once.,,,"1. [A] Reason: This argument is not applicable to the proposal to change the current electoral college because it does not address the specific action of changing the electoral college.
2. [A] Reason: This argument is pro because it supports the idea of changing the current electoral college.
3. [B] Reason: This argument is con because it opposes the idea of changing the current electoral college.
4. [A] Reason: This argument is pro because it believes that changing the current electoral college is the best thing ever.
5. [B] Reason: This argument is con because it believes that changing the current electoral college is the worst thing ever.",,,"1. [A] Reason: This argument is a pro because it supports the idea of changing the primary system as a one-time action.
2. [A] Reason: This argument is a pro because it supports the idea of changing the primary system.
3. [B] Reason: This argument is a con because it opposes the idea of changing the primary system.
4. [A] Reason: This argument is a pro because it supports the idea of changing the primary system as the best thing ever.
5. [B] Reason: This argument is a con because it opposes the idea of changing the primary system as the worst thing ever.",,,"1. C Reason: This argument does not directly support or oppose the proposal to implement less strict voting standards. It is not applicable.
2. A Reason: This argument is in support of the proposal to implement less strict voting standards, indicating that it is okay to do so.
3. B Reason: This argument is against the proposal to implement less strict voting standards, stating that it is bad to do so.
4. A Reason: This argument is in support of the proposal to implement less strict voting standards, stating that it is the best thing ever.
5. B Reason: This argument is against the proposal to implement less strict voting standards, stating that it is the worst thing ever.",,,"1. [A] Reason: This argument is not applicable to the proposal of using proportional representatives to elect elected officials. The proposal is a structural change to the electoral system, not a one-time action.
2. [A] Reason: This argument is a pro for the proposal. Using proportional representatives can lead to more accurate representation of the population's views and preferences in the government.
3. [B] Reason: This argument is a con for the proposal. Some may argue that using proportional representatives could lead to instability or inefficiency in governance.
4. [A] Reason: This argument is a pro for the proposal. Some may believe that using proportional representatives is the best way to ensure fair and equitable representation in government.
5. [B] Reason: This argument is a con for the proposal. Some may believe that using proportional representatives is the worst way to elect officials due to potential drawbacks such as lack of accountability or difficulty in decision-making.",,,"1. C Reason: This argument is not applicable to the proposal as it does not address the use of RCV as an alternative method for elected officials and representatives.
2. A Reason: This argument is a pro for the proposal as it supports the implementation of RCV as an alternative method for elected officials and representatives.
3. B Reason: This argument is a con for the proposal as it opposes the implementation of RCV as an alternative method for elected officials and representatives.
4. C Reason: This argument is not applicable to the proposal as it does not provide any specific reasoning or evidence for why RCV is the best thing ever.
5. C Reason: This argument is not applicable to the proposal as it does not provide any specific reasoning or evidence for why RCV is the worst thing ever.",,,"1. C Reason: This argument is not applicable to the proposal as it does not address whether restoring voting rights to citizens with felony convictions upon their release from prison is a good or bad idea.
2. A Reason: This argument is pro because it supports the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
3. B Reason: This argument is con because it opposes the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
4. A Reason: This argument is pro because it supports the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
5. B Reason: This argument is con because it opposes the proposal to restore voting rights to citizens with felony convictions upon their release from prison.",,,"1. C Reason: This argument does not directly relate to the proposal of implementing more accessibility to voting. It is a general statement about the frequency of an action being done.
2. A Reason: This argument is a pro for the proposal as it supports the idea of making voting more accessible.
3. B Reason: This argument is a con for the proposal as it opposes the idea of making voting more accessible.
4. A Reason: This argument is a pro for the proposal as it supports the idea of making voting more accessible.
5. B Reason: This argument is a con for the proposal as it opposes the idea of making voting more accessible.",False,False,False,False,False,False,False,False,False
24,25,48496,"""18:39""", only time everytime i noticing redistricting or drawing the lines again is to like benefit one group or some another. so i think we should just keep it the way it is and that's just a good reason. i got her to move the lines.,Yes,"1. Redistricting or drawing the lines again only benefits one group or another.
2. Keeping the current district lines is a good reason.
3. The speaker was able to convince someone to not move the lines.",,,"1. [A] Reason: Redistricting can benefit one group over another by manipulating the boundaries to favor a particular political party or demographic group.
2. [B] Reason: Keeping the current district lines can maintain the status quo and prevent potential gerrymandering or unfair advantages for certain groups.
3. [C] Reason: This argument does not directly relate to the proposal to change the electoral college system.
4. [A] Reason: Changing the current electoral college system could potentially address issues of unfair representation and winner-takes-all outcomes.
5. [B] Reason: Some may argue that changing the electoral college system could lead to unintended consequences or disrupt the current political balance.",,,"1.  [A] Reason: Redistricting or drawing new lines can benefit different groups by creating more fair and representative districts.
2. [B] Reason: Keeping the current district lines may not address issues of gerrymandering or lack of representation.
3. [C] Reason: The speaker's ability to convince someone to not move the lines does not directly relate to the proposal to change the primary system.
4. [A] Reason: Changing the primary system can lead to more diverse and representative candidates being selected.
5. [B] Reason: This argument is against changing the primary system without providing specific reasons or evidence.",,,"1.  [A] Reason: Redistricting or drawing lines again can benefit one group over another, which could be seen as a pro argument for implementing less strict voting standards.
2. [B] Reason: Keeping the current district lines may not necessarily be a good reason for implementing less strict voting standards, as it does not directly relate to the proposal.
3. [C] Reason: The speaker convincing someone to not move the lines is not directly related to the proposal of implementing less strict voting standards.
4. [A] Reason: Implementing less strict voting standards can be seen as a pro argument, as it may increase accessibility and participation in the voting process.
5. [B] Reason: This argument is against implementing less strict voting standards, as it suggests that it could be bad for the voting process.",,"1. Redistricting or drawing the lines again only benefits one group or another.
2. Keeping the current district lines is a good reason.","1. B Reason: This argument is a con because it suggests that redistricting can lead to unfair advantages for certain groups, which could be seen as a negative aspect of using proportional representatives.
2. B Reason: This argument is a pro because it suggests that keeping the current district lines can be a positive reason for not using proportional representatives.
3. C Reason: This argument is not applicable to the proposal as it does not directly relate to the use of proportional representatives.
4. A Reason: This argument is a pro because it directly supports the proposal of using proportional representatives to elect elected officials.
5. B Reason: This argument is a con because it suggests that using proportional representatives to elect elected officials is bad, which goes against the proposal.",,1. Redistricting or drawing the lines again only benefits one group or another.,"1. B Reason: Redistricting is not directly related to implementing RCV as an alternative method for elections.
2. C Reason: Keeping current district lines is not directly related to implementing RCV as an alternative method for elections.
3. C Reason: The speaker convincing someone to not move district lines is not directly related to implementing RCV as an alternative method for elections.
4. A Reason: Implementing RCV as an alternative method for elections is a pro argument for the proposal.
5. B Reason: This argument is not applicable as it is a repetition of the previous argument.",,,"1. [A] Reason: This argument is pro because redistricting can help ensure fair representation for all citizens, rather than benefiting one group over another.
2. [B] Reason: This argument is con because keeping the current district lines may perpetuate gerrymandering and unfair representation.
3. [C] Reason: This argument is not applicable to the given proposal as it does not directly relate to restoring voting rights to citizens with felony convictions.
4. [A] Reason: This argument is pro as it supports the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
5. [B] Reason: This argument is con as it opposes the proposal to restore voting rights to citizens with felony convictions upon their release from prison.",,1. Redistricting or drawing the lines again only benefits one group or another.,"1. B Reason: Redistricting is not directly related to implementing more accessibility to voting, so it is not applicable to the proposal.
2. C Reason: Keeping the current district lines does not directly address the proposal of implementing more accessibility to voting, so it is not applicable.
3. C Reason: The speaker convincing someone to not move the lines does not directly relate to the proposal of implementing more accessibility to voting, so it is not applicable.
4. A Reason: Implementing more accessibility to voting is the main goal of the proposal, so this argument is in support of the proposal.
5. B Reason: This argument is against the proposal of implementing more accessibility to voting, so it is a con.",False,False,False,False,False,False,False,True,False
